地址,行政区,街道,总户数,lng,lat
崧泽华城德康雅苑,青浦,赵巷,888,121.16530037027366,31.15028401594472
波恩风情,嘉定,安亭,887,121.18230798849405,31.27276188760581
富锦苑,宝山,月浦,887,121.43972749339996,31.409699229947368
明珠苑,浦东,洋泾,887,121.50732749828121,31.245316811876663
宝华盛世花园,宝山,月浦,886,121.41209489726863,31.453088068423256
万科金色雅筑,浦东,三林,885,121.52472767600949,31.14966954994268
柳营路309弄,静安,闸北公园,885,121.4697421262521,31.275963933638003
海伦堡海伦广场,嘉定,嘉定新城,883,121.26639666050262,31.328075351856377
东沟七村,浦东,高行,882,121.58315400536176,31.301202850916855
中轩丽苑,杨浦,东外滩,881,121.56022044535312,31.284518233822478
绿地林肯公园,松江,松江大学城,880,121.2616228853615,31.06192215137384
大宁新村,静安,大宁,879,121.46125215104674,31.283867769749634
兰花教师公寓,杨浦,黄兴公园,878,121.54200397740794,31.309598880709366
崂山五村,浦东,陆家嘴,878,121.52356526867958,31.242727884421647
月浦四村,宝山,月浦,877,121.42953900213632,31.425320315326122
禄德嘉苑,宝山,杨行,876,121.44889685706251,31.373632270386913
南苑一村,嘉定,嘉定城区,876,121.25632243369986,31.378486251930312
金藤苑,浦东,金桥,876,121.59814465822062,31.27449930382777
安亭中央公园,嘉定,安亭,874,121.16195903309873,31.298143839456625
黑山小区,杨浦,中原,873,121.52989790911575,31.31332017448209
月浦六村,宝山,月浦,872,121.42834299818036,31.424595878882815
朱家角1号,青浦,朱家角,866,121.0427079885131,31.117090836177066
宝林五村,宝山,淞宝,865,121.49739592239345,31.41051747166602
绿地嘉尚国际广场,嘉定,叶城路515,860,121.26692935567004,31.37351919766182
